,loop_step,standard_dev,number_town_people,guac_20,guac_19,guac_18,guac_17,guac_16,guac_15,guac_14,guac_13,guac_12,guac_11,guac_10,guac_9,guac_8,guac_7,guac_6,guac_5,guac_4,guac_3,guac_2,fraction_multiple_condorcet_winners
0,0,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,0.0
1,1,1,50,true,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,0.0
2,2,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,0.0
3,3,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,0.0
4,4,1,50,true,true,true,false,true,true,true,true,true,true,true,false,true,false,true,false,false,false,not_all_assigned,0.0
5,5,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,0.0
6,6,1,50,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,true,not_all_assigned,0.0
7,7,1,50,true,true,true,true,true,true,false,true,false,true,false,false,true,false,true,true,false,true,true,0.0
8,8,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,false,0.0
9,9,1,50,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,true,true,false,0.0
10,10,1,50,true,true,false,true,true,true,true,false,true,true,true,true,true,true,false,true,true,true,true,0.0
11,11,1,50,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,false,true,true,true,0.0
12,12,1,50,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,true,true,true,0.0
13,13,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,0.0
14,14,1,50,true,false,true,true,true,true,true,true,true,false,true,true,false,true,false,true,true,true,true,0.0
15,15,1,50,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,false,0.0
16,16,1,50,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,false,true,0.0
17,17,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,true,not_all_assigned,0.0
18,18,1,50,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false,0.0
19,19,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,false,0.0
20,20,1,50,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,false,true,0.0
21,21,1,50,true,true,true,true,true,false,true,true,true,false,true,true,true,true,false,true,false,false,not_all_assigned,0.0
22,22,1,50,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,false,false,false,true,0.0
23,23,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,0.0
24,24,1,50,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false,0.0
25,25,1,50,true,true,true,true,true,true,true,false,true,true,true,true,false,false,true,true,true,false,not_all_assigned,0.0
26,26,1,50,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,false,false,0.0
