,loop_step,standard_dev,number_town_people,guac_20,guac_19,guac_18,guac_17,guac_16,guac_15,guac_14,guac_13,guac_12,guac_11,guac_10,guac_9,guac_8,guac_7,guac_6,guac_5,guac_4,guac_3,guac_2,guac_1
0,0,1,50,true,true,true,true,true,false,true,true,true,true,true,false,false,true,true,false,true,true,false,not_all_assigned
1,1,1,50,true,true,true,true,true,true,true,true,true,true,false,false,true,true,true,true,true,false,true,not_all_assigned
2,2,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,not_all_assigned
3,3,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,not_all_assigned
4,4,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,not_all_assigned,not_all_assigned
5,5,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,not_all_assigned,false
6,6,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,not_all_assigned
7,7,1,50,true,true,false,true,true,true,false,true,true,true,true,false,true,true,true,true,false,false,true,not_all_assigned
8,8,1,50,true,true,true,true,true,true,true,true,true,true,false,true,false,false,true,true,true,false,false,not_all_assigned
9,9,1,50,true,true,true,true,true,true,true,true,false,true,true,false,true,true,true,true,true,true,true,not_all_assigned
10,10,1,50,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,not_all_assigned,not_all_assigned
11,11,1,50,true,true,true,true,true,true,true,false,true,true,true,true,false,true,true,false,false,false,false,not_all_assigned
12,12,1,50,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,false,true,not_all_assigned
13,13,1,50,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,false,false,true,not_all_assigned
14,14,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,not_all_assigned
15,15,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,not_all_assigned
16,16,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,not_all_assigned
17,17,1,50,true,true,false,true,true,true,true,true,true,true,true,false,true,false,true,false,true,true,true,not_all_assigned
18,18,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,false,not_all_assigned
19,19,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,not_all_assigned
20,20,1,50,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,true,not_all_assigned
21,21,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,true
22,22,1,50,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,false,true,false,not_all_assigned,not_all_assigned
23,23,1,50,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true,true
24,24,1,50,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,not_all_assigned
25,25,1,50,true,true,true,true,true,true,false,true,true,false,true,false,true,true,true,true,true,false,not_all_assigned,true
26,26,1,50,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,true,true,not_all_assigned
27,27,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,true,false
28,28,1,50,true,true,false,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,false,true
