,Guac Entrants,Townspeople,Sampling Limit,Std. Deviation,Valid
0,20,10,2.0,3.0,True
1,20,10,3.0,3.0,False
2,20,10,4.0,3.0,False
3,20,10,5.0,3.0,False
4,20,10,6.0,3.0,False
5,20,10,7.0,3.0,False
6,20,10,8.0,3.0,False
7,20,10,9.0,3.0,False
8,20,10,10.0,3.0,True
9,20,10,11.0,3.0,False
10,20,10,12.0,3.0,False
11,20,10,13.0,3.0,False
12,20,10,14.0,3.0,False
13,20,10,15.0,3.0,False
14,20,10,16.0,3.0,False
15,20,10,17.0,3.0,False
16,20,10,18.0,3.0,False
17,20,10,19.0,3.0,True
18,20,10,20.0,3.0,False
19,20,20,2.0,3.0,False
20,20,20,3.0,3.0,False
21,20,20,4.0,3.0,False
22,20,20,5.0,3.0,True
23,20,20,6.0,3.0,False
24,20,20,7.0,3.0,False
25,20,20,8.0,3.0,False
26,20,20,9.0,3.0,False
27,20,20,10.0,3.0,False
28,20,20,11.0,3.0,False
29,20,20,12.0,3.0,False
30,20,20,13.0,3.0,False
31,20,20,14.0,3.0,False
32,20,20,15.0,3.0,False
33,20,20,16.0,3.0,True
34,20,20,17.0,3.0,True
35,20,20,18.0,3.0,False
36,20,20,19.0,3.0,False
37,20,20,20.0,3.0,True
38,20,30,2.0,3.0,False
39,20,30,3.0,3.0,False
40,20,30,4.0,3.0,True
41,20,30,5.0,3.0,True
42,20,30,6.0,3.0,False
43,20,30,7.0,3.0,True
44,20,30,8.0,3.0,False
45,20,30,9.0,3.0,True
46,20,30,10.0,3.0,False
47,20,30,11.0,3.0,False
48,20,30,12.0,3.0,False
49,20,30,13.0,3.0,False
50,20,30,14.0,3.0,False
51,20,30,15.0,3.0,False
52,20,30,16.0,3.0,True
53,20,30,17.0,3.0,True
54,20,30,18.0,3.0,True
55,20,30,19.0,3.0,False
56,20,30,20.0,3.0,True
57,20,40,2.0,3.0,True
58,20,40,3.0,3.0,False
59,20,40,4.0,3.0,False
60,20,40,5.0,3.0,False
61,20,40,6.0,3.0,True
62,20,40,7.0,3.0,False
63,20,40,8.0,3.0,False
64,20,40,9.0,3.0,False
65,20,40,10.0,3.0,True
66,20,40,11.0,3.0,False
67,20,40,12.0,3.0,False
68,20,40,13.0,3.0,False
69,20,40,14.0,3.0,False
70,20,40,15.0,3.0,False
71,20,40,16.0,3.0,True
72,20,40,17.0,3.0,False
73,20,40,18.0,3.0,False
74,20,40,19.0,3.0,True
75,20,40,20.0,3.0,True
76,20,50,2.0,3.0,False
77,20,50,3.0,3.0,False
78,20,50,4.0,3.0,False
79,20,50,5.0,3.0,False
80,20,50,6.0,3.0,False
81,20,50,7.0,3.0,True
82,20,50,8.0,3.0,False
83,20,50,9.0,3.0,False
84,20,50,10.0,3.0,True
85,20,50,11.0,3.0,True
86,20,50,12.0,3.0,False
87,20,50,13.0,3.0,False
88,20,50,14.0,3.0,False
89,20,50,15.0,3.0,False
90,20,50,16.0,3.0,True
91,20,50,17.0,3.0,True
92,20,50,18.0,3.0,True
93,20,50,19.0,3.0,False
94,20,50,20.0,3.0,False
95,20,75,2.0,3.0,False
96,20,75,3.0,3.0,False
97,20,75,4.0,3.0,True
98,20,75,5.0,3.0,False
99,20,75,6.0,3.0,False
100,20,75,7.0,3.0,True
101,20,75,8.0,3.0,False
102,20,75,9.0,3.0,False
103,20,75,10.0,3.0,False
104,20,75,11.0,3.0,True
105,20,75,12.0,3.0,False
106,20,75,13.0,3.0,False
107,20,75,14.0,3.0,True
108,20,75,15.0,3.0,True
109,20,75,16.0,3.0,True
110,20,75,17.0,3.0,True
111,20,75,18.0,3.0,True
112,20,75,19.0,3.0,True
113,20,75,20.0,3.0,True
114,20,100,2.0,3.0,False
115,20,100,3.0,3.0,False
116,20,100,4.0,3.0,False
117,20,100,5.0,3.0,False
118,20,100,6.0,3.0,False
119,20,100,7.0,3.0,True
120,20,100,8.0,3.0,False
121,20,100,9.0,3.0,True
122,20,100,10.0,3.0,False
123,20,100,11.0,3.0,False
124,20,100,12.0,3.0,False
125,20,100,13.0,3.0,True
126,20,100,14.0,3.0,True
127,20,100,15.0,3.0,False
128,20,100,16.0,3.0,True
129,20,100,17.0,3.0,False
130,20,100,18.0,3.0,True
131,20,100,19.0,3.0,True
132,20,100,20.0,3.0,True
133,20,150,2.0,3.0,False
134,20,150,3.0,3.0,False
135,20,150,4.0,3.0,False
136,20,150,5.0,3.0,False
137,20,150,6.0,3.0,True
138,20,150,7.0,3.0,True
139,20,150,8.0,3.0,False
140,20,150,9.0,3.0,True
141,20,150,10.0,3.0,True
142,20,150,11.0,3.0,False
143,20,150,12.0,3.0,True
144,20,150,13.0,3.0,False
145,20,150,14.0,3.0,False
146,20,150,15.0,3.0,True
147,20,150,16.0,3.0,True
148,20,150,17.0,3.0,False
149,20,150,18.0,3.0,True
150,20,150,19.0,3.0,True
151,20,150,20.0,3.0,True
152,20,200,2.0,3.0,False
153,20,200,3.0,3.0,False
154,20,200,4.0,3.0,False
155,20,200,5.0,3.0,False
156,20,200,6.0,3.0,True
157,20,200,7.0,3.0,False
158,20,200,8.0,3.0,True
159,20,200,9.0,3.0,False
160,20,200,10.0,3.0,False
161,20,200,11.0,3.0,False
162,20,200,12.0,3.0,True
163,20,200,13.0,3.0,True
164,20,200,14.0,3.0,False
165,20,200,15.0,3.0,True
166,20,200,16.0,3.0,True
167,20,200,17.0,3.0,True
168,20,200,18.0,3.0,False
169,20,200,19.0,3.0,True
170,20,200,20.0,3.0,True
171,20,250,2.0,3.0,True
172,20,250,3.0,3.0,True
173,20,250,4.0,3.0,True
174,20,250,5.0,3.0,False
175,20,250,6.0,3.0,False
176,20,250,7.0,3.0,False
177,20,250,8.0,3.0,False
178,20,250,9.0,3.0,True
179,20,250,10.0,3.0,True
180,20,250,11.0,3.0,True
181,20,250,12.0,3.0,True
182,20,250,13.0,3.0,True
183,20,250,14.0,3.0,True
184,20,250,15.0,3.0,False
185,20,250,16.0,3.0,False
186,20,250,17.0,3.0,True
187,20,250,18.0,3.0,True
188,20,250,19.0,3.0,True
189,20,250,20.0,3.0,True
190,20,300,2.0,3.0,False
191,20,300,3.0,3.0,False
192,20,300,4.0,3.0,False
193,20,300,5.0,3.0,False
194,20,300,6.0,3.0,False
195,20,300,7.0,3.0,False
196,20,300,8.0,3.0,True
197,20,300,9.0,3.0,True
198,20,300,10.0,3.0,True
199,20,300,11.0,3.0,True
200,20,300,12.0,3.0,False
201,20,300,13.0,3.0,False
202,20,300,14.0,3.0,False
203,20,300,15.0,3.0,True
204,20,300,16.0,3.0,True
205,20,300,17.0,3.0,True
206,20,300,18.0,3.0,True
207,20,300,19.0,3.0,False
208,20,300,20.0,3.0,True
209,20,350,2.0,3.0,False
210,20,350,3.0,3.0,False
211,20,350,4.0,3.0,True
212,20,350,5.0,3.0,True
213,20,350,6.0,3.0,False
214,20,350,7.0,3.0,True
215,20,350,8.0,3.0,False
216,20,350,9.0,3.0,True
217,20,350,10.0,3.0,True
218,20,350,11.0,3.0,False
219,20,350,12.0,3.0,True
220,20,350,13.0,3.0,True
221,20,350,14.0,3.0,False
222,20,350,15.0,3.0,True
223,20,350,16.0,3.0,True
224,20,350,17.0,3.0,True
225,20,350,18.0,3.0,True
226,20,350,19.0,3.0,True
227,20,350,20.0,3.0,True
228,20,400,2.0,3.0,True
229,20,400,3.0,3.0,True
230,20,400,4.0,3.0,True
231,20,400,5.0,3.0,False
232,20,400,6.0,3.0,True
233,20,400,7.0,3.0,False
234,20,400,8.0,3.0,True
235,20,400,9.0,3.0,True
236,20,400,10.0,3.0,True
237,20,400,11.0,3.0,True
238,20,400,12.0,3.0,False
239,20,400,13.0,3.0,True
240,20,400,14.0,3.0,True
241,20,400,15.0,3.0,True
